NAME:,Run_5_1,,
EXPERIMENT TIME:,06/06/2023 12:18,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,150,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
38.88199902,7.37,-2.12,-2.51
38.96299902,-1.14,4.59,-1.92
39.04399902,0.31,-18.83,-13.93
39.12499902,-1.02,-16.67,-7.34
39.20599902,2.47,0.86,-1.37
39.28699902,-4.63,-6.24,0.67
39.36799902,-4.24,-3.88,-12.63
39.44899902,-0.27,-20.01,-10.79
39.52999902,3.88,-10.04,-3.06
39.61099902,2.2,2.59,1.37
39.69199902,0.47,-3.1,-2.75
39.77299902,0.59,-12.51,-5.96
39.85399902,3.84,-20.01,-4.86
39.93499902,-4.16,-7.69,0.47
40.01599902,-3.92,-0.47,1.33
40.09699902,2.67,5.02,-6.35
40.17799902,2.59,-17.26,-9.53
40.25899902,5.33,-20.01,-6.55
40.33999902,-8.94,3.06,0.39
40.42099902,1.53,-3.26,-4.39
40.50199902,2.98,7.18,-16.83
40.58299902,5.61,-20.01,-18.44
40.66399902,-5.53,-10.63,-4.67
40.74499902,5.77,7.41,-3.02
40.82599902,-0.71,-1.84,-4.28
40.90699902,-5.45,-20.01,-3.77
40.98799902,-0.59,-20.01,-2.79
41.06899902,2.82,-3.61,-1.88
41.14999902,4.35,-1.41,0.08
41.23099902,-1.29,4.47,-1.02
41.31199902,-2.39,-17.69,-4.86
41.39399902,2.51,-20.01,-1.65
41.47499902,1.57,0.75,-1.02
41.55599902,-4.16,-8,1.37
41.63699902,-4,2.82,-10.12
41.71799902,-0.94,-20.01,-8
41.79899902,6.9,-19.34,-4.47
42.44699902,-8.87,-14.12,-10.75
42.52799902,0.78,-20.01,-4.67
42.60899902,-3.41,-2.43,-3.22
42.68999902,4.39,-4.31,-0.98
42.77099902,-1.06,4.28,-0.55
42.85199902,1.57,-20.01,-17.57
42.93299902,-2.2,-15.22,-6
43.01399902,5.06,6,-2.04
43.09499902,-3.84,-3.1,-5.57
43.17599902,-2.31,4.16,-15.42
43.25699902,-0.59,-20.01,-10.32
43.33799902,4.82,-9.49,-3.57
43.41899902,2.08,1.18,1.61
43.49999902,-0.82,1.06,-1.22
43.58099902,-1.29,-13.65,-8.94
43.66199902,4.12,-20.01,-3.73
43.74299902,0,1.1,-1.53
43.82399902,-3.84,-7.73,0.9
43.90499902,0.59,1.29,-5.22
43.98599902,4.43,-19.65,-10.87
44.06699902,3.92,-20.01,-6.2
44.14799902,-8.71,4.75,1.49
44.22899902,0.94,-6.83,-4.51
44.30999902,0.24,5.26,-17.73
44.39099902,2.2,-20.01,-20.01
44.47199902,-2.16,-7.73,-4.63
44.55299902,2.63,2.86,-0.16
44.63399902,-2.08,1.1,-3.45
44.71499902,-7.14,-20.01,-8.36
44.79599902,0.55,-20.01,-0.71
44.87699902,1.96,-6,-1.02
44.95799902,3.92,-2.47,1.8
45.03899902,-3.02,2.82,3.06
45.11999902,-2.43,-17.81,-15.22
45.20099902,1.96,-15.73,-4.04
45.28199902,2.12,2.43,-1.1
45.36299902,-3.37,-6.16,-3.37
45.44399902,-6.83,4.35,-19.3
45.52499902,-1.02,-20.01,-9.34
45.60599902,4.59,-10.32,-1.1
45.68699902,4.71,2.47,-0.08
45.76799902,-1.88,2.71,-0.55
45.84899902,2.39,-20.01,-4.31
45.92999902,5.69,-20.01,-1.45
46.01099902,-0.08,1.14,-0.35
46.09199902,-6.67,-8.16,-0.08
46.17299902,0.94,3.3,-9.02
46.25399902,3.84,-20.01,-16.55
46.33499902,3.33,-13.06,-3.57
46.41599902,1.96,4.31,3.53
46.49699902,1.57,-0.2,-4.39
46.57799902,-1.53,-20.01,-6.63
46.65899902,5.41,-20.01,-3.02
46.73999902,-3.3,-5.88,0.43
46.82099902,-3.33,-4.9,3.49
46.90199902,2.47,1.92,-0.55
46.98299902,4.94,-8.79,-12.47
47.06399902,-4.31,-15.97,-5.77
47.14499902,-5.18,4.08,2.51
47.22599902,2.82,-3.65,-4.55
47.30699902,3.84,7.41,-19.22
47.38799902,6.86,-20.01,-15.18
47.46899902,-6.55,-8.2,-1.96
47.54999902,3.69,2.94,1.29
47.63099902,-0.2,1.88,-3.57
47.71199902,-0.75,-7.85,-8.32
47.79299902,-3.92,-20.01,-3.26
47.87399902,1.26,2.24,-2.71
48.92699902,4.82,-20.01,-2.35
50.87099902,7.45,-18.44,-4.79
50.95199902,-10.67,3.84,2.63
51.03299902,1.29,-3.26,-4.86
51.11399902,4.04,-15.34,-10.9
51.19499902,7.26,-20.01,-0.16
51.27599902,-5.88,-5.41,-0.24
51.35699902,-2.63,-7.57,1.8
51.43799902,3.53,3.02,2.67
51.51899902,7.57,-11.1,-15.26
51.59999902,-0.43,-17.18,-4.47
51.68099902,-6.67,5.65,-1.22
51.76199902,-1.41,-5.22,-4.08
51.84299902,3.57,6.04,-16.95
51.92399902,5.33,-20.01,-11.73
52.00499902,-3.61,-12.55,-1.06
52.08599902,4.35,4.75,-0.12
52.16699902,-0.75,-0.04,-3.37
52.24799902,-3.49,-20.01,-6
52.32899902,2.2,-20.01,-2
52.40999902,-0.47,-3.77,-2.31
52.49099902,5.1,-1.18,-1.1
52.57199902,-2.94,3.73,-0.78
52.65299902,0.16,-19.81,-9.61
52.73399902,0.35,-14.32,-3.26
52.81499902,3.41,8.47,-5.81
52.89599902,-1.33,-7.22,-4.43
52.97699902,-5.1,5.57,-20.01
53.05799902,-1.65,-20.01,-7.96
53.13899902,-2.2,-5.18,-1.14
53.21999902,7.77,-1.88,0.67
53.30099902,-2.98,5.1,0.47
53.38199902,0.47,-19.93,-3.77
53.46299902,3.88,-18.63,0.47
53.54399902,0.24,9.1,-2.63
53.62499902,-3.53,-4.75,-4.98
53.70599902,-2.71,-0.27,-16.63
53.78699902,-2.24,-20.01,-9.81
53.86799902,4,-7.73,-1.65
53.94899902,7.69,-0.04,2.55
54.02999902,-2.35,4.08,-1.18
54.11099902,-4.59,-11.49,-13.49
54.19199902,1.77,-20.01,-6.98
54.27299902,3.84,6.08,-3.06
54.35399902,-2.67,-4.98,-1.69
54.43499902,-6.98,-7.34,-12.08
54.51599902,1.73,-20.01,-5.81
54.59699902,2.39,-5.22,-2.08
54.67799902,5.77,-4.31,1.92
54.75899902,-3.65,2.94,1.73
54.83999902,-3.53,-11.18,-18.08
54.92099902,3.84,-18.67,-6.35
55.00199902,3.3,0.86,0.43
55.08299902,-6,-5.41,-1.14
55.16399902,0.16,2.59,-12.24
55.24499902,7.18,-20.01,-8.83
55.32599902,-2.31,-16.4,-4.16
55.40699902,-3.84,3.8,3.77
55.48799902,2.9,-3.61,-4.51
55.56899902,0.43,-3.37,-19.06
55.64999902,7.41,-20.01,-8.04
55.73099902,-4.71,-8.51,0.47
55.81199902,1.06,1.22,0.86
55.89299902,0.82,1.41,-2.43
55.97399902,7.61,-7.57,-14.51
56.05499902,-3.06,-20.01,-5.69
56.13599902,-3.77,2.28,-0.2
