NAME:,walk3.csv,,
EXPERIMENT TIME:,03/06/2023 14:37,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,94,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
15.194,-2.981222,-0.627626,-2.628182
15.265,-2.157463,-0.392266,-4.04034
15.336,-2.902768,-0.274586,-5.138685
15.407,-1.765197,-2.392823,-9.492838
15.478,-3.844207,-4.471833,-8.786758
15.549,-2.941995,-1.882877,-9.100572
15.62,-7.453054,-1.216025,-4.824872
15.691,0.274586,-2.667409,-8.551399
15.762,-3.961887,-1.529837,-1.84365
15.833,-3.92266,-0.902212,-3.883434
15.904,-3.648074,0.509946,-4.079566
15.975,-2.902768,-1.137571,-5.413271
16.046,-6.354709,3.844207,-10.355823
16.117,-9.218252,-0.11768,-12.2387
16.188,-2.353596,-9.963557,0.11768
16.259,-9.296705,-0.549172,-9.688971
16.33,-3.451941,-2.902768,-2.941995
16.401,-2.863542,-0.941438,-1.529837
16.472,-2.549729,0,-3.569621
16.543,-2.039783,0.392266,-5.177911
16.614,-2.628182,-2.07901,-8.31604
16.685,-3.687301,-7.256921,-15.651415
16.756,-8.472946,-4.354153,-1.255251
16.827,-5.530951,-2.000557,-4.628739
16.898,-0.902212,-2.432049,-8.276814
16.969,-3.020448,-0.156906,-2.824315
17.04,-4.393379,-0.353039,-2.510503
17.111,-2.353596,-0.11768,-4.432606
17.182,-2.981222,-1.529837,-5.334818
17.253,-6.982335,3.216581,-9.218252
17.324,-11.611073,-1.098345,-13.297818
17.395,0.274586,-9.571291,-5.217138
17.466,-9.610518,-0.862985,-8.66908
17.537,-2.863542,-1.84365,-1.412158
17.608,-2.31437,-0.588399,-2.07901
17.679,-2.118237,-0.588399,-3.020448
17.75,-2.628182,1.216025,-5.923217
17.821,1.882877,-2.588956,-10.669636
17.892,-7.374601,-5.413271,-9.179025
17.963,-7.727641,-6.433163,-1.608291
18.034,-2.471276,-5.530951,-9.061345
18.105,-2.785089,-2.118237,-3.80498
18.176,-3.216581,-0.23536,-2.785089
18.247,-3.726527,-0.274586,-3.412714
18.318,-3.80498,1.765197,-6.393936
18.389,-5.374045,-0.039227,-8.982892
18.46,-6.590069,-3.255808,-6.276257
18.531,-4.236473,-2.941995,-8.355267
18.602,-2.039783,-2.588956,-8.43372
18.673,-5.530951,-1.882877,-6.11935
18.744,-2.275143,-0.627626,-2.392823
18.815,-2.588956,-1.019892,-2.863542
18.886,-2.19669,0.353039,-3.687301
18.957,-4.314926,-2.824315,-6.276257
19.028,-3.177355,0.745305,-11.650301
19.099,-1.765197,-4.903325,-14.160804
19.17,-5.962444,-6.11935,-3.216581
19.241,-1.96133,-5.76631,-9.061345
19.312,-2.706636,-2.000557,-0.353039
19.383,-3.726527,-0.627626,-3.138128
19.454,-3.687301,1.137571,-3.92266
19.525,-3.687301,-0.706079,-6.903882
19.596,-7.923774,4.707192,-10.63041
19.667,-6.786202,-1.608291,-10.316596
19.738,-2.353596,-8.159133,-4.628739
19.809,-7.727641,-0.156906,-8.237586
19.88,-3.687301,-1.490611,-3.216581
19.951,-2.785089,-2.118237,-1.882877
20.022,-2.31437,0.274586,-3.648074
20.093,-2.785089,0.353039,-5.491724
20.164,-0.23536,-2.549729,-10.826543
20.235,-4.15802,-4.981779,-8.708306
20.306,-5.570178,-8.747532,-0.23536
20.377,-5.295591,-2.118237,-9.218252
20.448,-1.84365,-1.84365,-6.315483
20.519,-3.569621,-1.098345,-2.275143
20.59,-3.961887,0.431493,-4.746419
20.661,-2.785089,1.804424,-4.864099
20.732,-4.118793,-1.019892,-6.786202
20.803,-4.746419,1.019892,-8.159133
20.874,-8.629852,-0.862985,-10.316596
20.945,-0.941438,-7.884547,-3.098902
21.016,-8.747532,-2.039783,-8.159133
21.087,-4.04034,-2.235916,-2.039783
21.158,-2.392823,-1.137571,-1.725971
21.229,-2.863542,0.039227,-2.667409
21.3,-3.098902,-0.11768,-7.374601
21.371,0.431493,1.647517,-12.984006
21.442,-3.334261,-4.628739,-14.160804
21.513,-6.590069,-6.903882,-0.509946
21.584,-5.138685,-4.707192,-8.43372
21.655,-1.922104,-2.353596,-4.824872
21.726,-4.2757,-0.706079,-1.804424
21.797,-4.079566,-0.470719,-4.314926
21.868,-3.765754,-0.23536,-6.707749
21.939,-7.963,2.549729,-11.454168
22.01,-8.355267,-4.354153,-8.355267
22.081,-2.235916,-7.884547,-5.138685
22.152,-3.098902,-1.608291,-7.84532
22.223,-4.667965,-2.549729,-5.923217
22.294,-1.412158,-1.255251,-2.000557
22.365,-2.706636,-0.11768,-2.902768
22.436,-1.608291,0.666852,-5.295591
22.507,-1.137571,-0.627626,-11.571848
22.578,-2.353596,-4.746419,-15.416055
22.649,-3.765754,-5.609404,-2.471276
22.72,-6.629296,-0.627626,-6.982335
22.791,-1.412158,-1.098345,-6.511616
22.862,-3.295035,-1.019892,-3.961887
22.933,-3.255808,-0.666852,-2.863542
23.004,-3.216581,0.039227,-4.393379
23.075,-3.530394,-1.019892,-4.942552
23.146,-5.76631,2.628182,-11.493395
23.217,-7.806094,-0.23536,-11.689528
23.288,-1.647517,-6.276257,-2.667409
23.359,-7.256921,-0.980665,-8.472946
23.43,-3.80498,-2.118237,-3.608848
23.501,-2.824315,-0.980665,-3.80498
23.572,-2.510503,0.196133,-2.549729
23.643,-2.235916,0.706079,-4.942552
23.714,-0.23536,-1.412158,-11.414941
23.785,-2.902768,-3.177355,-6.11935
23.856,-4.314926,-2.902768,-8.786758
23.927,-6.590069,-0.431493,-6.11935
23.998,-1.922104,-2.745862,-7.413828
24.069,-2.706636,-1.176798,-2.549729
24.14,-3.687301,-0.627626,-3.883434
24.211,-3.608848,0.902212,-3.961887
24.282,-2.981222,-1.804424,-6.472389
24.353,-6.433163,2.667409,-9.453611
24.424,-7.374601,1.608291,-13.729311
24.495,-2.275143,-5.962444,-1.647517
24.566,-7.766868,-2.549729,-8.31604
24.637,-3.020448,-3.098902,-2.510503
24.708,-2.785089,-1.333704,-3.138128
24.779,-2.745862,0.353039,-3.373488
24.85,-3.138128,0.706079,-5.805537
24.921,0.23536,0.470719,-13.297818
24.992,-3.412714,-4.785645,-10.39505
25.063,-6.511616,-6.433163,-1.216025
25.134,-4.667965,-3.295035,-7.335374
25.205,-2.667409,-1.725971,-5.570178
25.276,-3.530394,-0.627626,-3.334261
25.347,-4.236473,-0.11768,-4.432606
25.418,-3.569621,1.412158,-5.530951
25.489,-4.550286,-0.941438,-6.393936
25.56,-5.609404,-0.039227,-8.747532
25.631,-8.825986,-1.882877,-10.316596
25.702,-0.902212,-7.139242,-3.334261
25.773,-8.394493,-2.941995,-7.021562
25.844,-3.059675,-2.07901,-4.04034
25.915,-2.628182,-0.862985,-2.353596
25.986,-2.039783,-0.313813,-3.216581
26.057,-3.098902,-1.176798,-6.00167
26.128,-0.23536,2.235916,-13.533178
26.199,-4.785645,-2.667409,-7.766868
26.27,-5.334818,-8.198359,-1.490611
26.341,-6.11935,-1.255251,-7.139242
26.412,-1.647517,-2.588956,-6.158576
26.483,-3.844207,-0.666852,-2.785089
26.554,-3.216581,0.274586,-4.471833
26.625,-3.608848,0.902212,-4.236473
26.696,-3.098902,-1.725971,-7.335374
26.767,-5.177911,1.176798,-8.865212
26.838,-9.963557,-1.529837,-10.002784
26.909,-2.392823,-7.963,-3.020448
26.98,-8.786758,-3.098902,-6.354709
27.051,-3.138128,-2.785089,-2.353596
27.122,-3.020448,-1.451384,-2.235916
27.193,-1.922104,-0.784532,-3.373488
27.264,-3.059675,0.23536,-6.040897
27.335,-0.078453,1.255251,-13.690084
27.406,-5.177911,-2.275143,-16.200586
27.477,-6.11935,-5.334818,0.313813
27.548,-5.177911,-4.942552,-8.08068
27.619,-1.608291,-2.31437,-4.981779
27.69,-4.785645,-0.666852,-2.275143
27.761,-3.608848,-0.156906,-4.707192
27.832,-3.648074,0.902212,-6.825429
27.903,-6.23703,1.922104,-9.649744
27.974,-6.903882,-5.217138,-4.393379
28.045,-4.432606,-3.412714,-7.806094
28.116,-2.275143,-2.745862,-7.178468
28.187,-6.354709,-2.118237,-5.88399
28.258,-2.118237,-0.078453,-2.353596
28.329,-3.020448,-0.353039,-3.373488
28.4,-2.785089,0.23536,-4.118793
28.471,-4.864099,-3.334261,-7.256921
28.542,-4.079566,0.23536,-9.728197
28.613,-0.745305,-2.549729,-11.650301
28.684,-7.923774,-2.275143,-5.138685
28.755,-1.490611,-2.510503,-8.825986
28.826,-3.098902,-1.569064,-1.412158
28.897,-3.648074,-1.451384,-2.745862
28.968,-3.961887,0.392266,-4.001113
29.039,-4.001113,-0.549172,-6.903882
29.11,-5.923217,3.726527,-10.002784
29.181,-8.08068,-0.784532,-11.454168
29.252,-2.31437,-7.884547,-3.412714
29.323,-8.276814,-0.078453,-8.159133
29.394,-3.883434,-2.19669,-3.098902
29.465,-2.510503,-2.039783,-3.255808
29.536,-2.157463,-0.039227,-3.216581
29.607,-2.353596,-0.509946,-4.785645
29.678,-3.491168,-2.588956,-9.610518
29.749,-4.04034,1.333704,-8.198359
29.82,-0.745305,-3.216581,-12.199473
29.891,-6.511616,-1.451384,-5.295591
29.962,-2.039783,-2.510503,-8.31604
30.033,-2.941995,-1.569064,-2.353596
30.104,-3.569621,-1.412158,-3.530394
30.175,-3.648074,0,-4.001113
30.246,-4.236473,-0.353039,-6.354709
30.317,-7.139242,2.588956,-11.689528
30.388,-7.335374,-4.903325,-6.276257
30.459,-2.549729,-2.432049,-7.688414
30.53,-2.941995,0,-8.31604
30.601,-4.236473,-1.451384,-6.11935
