NAME:,run1.csv,,
53.14,0.73,-0.43,-0.86
53.25,2.24,4.86,3.06
53.35,0.44,10.83,16.2
53.450005,0.51,4.39,7.26
53.550003,8.47,-7.22,-1.45
53.65,0.69,4.08,4.16
53.760002,0.06,9.81,15.97
53.86,0.65,-1.53,5.22
53.96,0.59,5.33,-1.26
54.060005,0.02,10.24,16.83
54.160004,0.89,5.81,14.12
54.270004,7.41,-2.82,-6.16
54.370003,0.57,-0.51,4.67
54.47,0.73,8.28,20.01
54.57,0.96,-1.29,5.84
54.67,1.92,8.94,-5.77
54.78,0.1,11.26,18.28
54.880005,0.32,2.82,11.38
54.980003,9.45,-1.92,-6.71
55.08,0,2.79,3.8
55.18,0.01,18.75,12.4
55.29,0.94,-1.29,6.35
55.39,0.24,4.16,-3.73
55.490005,0.55,10.51,0.59
55.590004,0.38,4.75,20.01
55.690002,0.14,1.29,-6.35
55.800003,0,-1.18,1.88
55.9,0.89,16.2,14.24
56,0.35,-0.75,19.34
56.1,0.67,-1.45,-1.53
56.200005,2.16,2.47,2.86
56.310005,0.01,20.01,9.22
56.410004,0.02,3.53,1.29
56.510002,12.94,0.35,-6.86
56.61,0.1,15.02,8.04
56.72,0.04,14.08,20.01
56.82,0.43,4.12,3.84
56.92,3.18,-1.84,1.33
57.020004,3.57,11.14,6.39
57.120003,0.28,3.1,19.85
57.22,0.04,1.26,-0.47
57.33,0.31,2.86,-1.65
57.43,0.01,20.01,20.01
57.53,0.49,6.24,13.45
57.630005,0.84,-2.47,4.67
57.730003,0.2,-2.9,0.12
57.840004,0,10.67,20.01
57.940002,0.02,0.47,9.89
58.04,3.14,-2.28,-3.1
58.14,2.08,3.88,3.06
58.25,0.93,9.53,20.01
58.35,0.49,2.31,11.3
58.450005,0.06,-2.55,-1.65
58.550003,0.75,4.39,4
58.65,15.46,0.04,20.01
58.75,0.51,1.73,9.1
58.86,9.02,-2.9,-4.75
58.96,0.77,5.02,9.34
59.060005,0.98,0.39,19.57
59.160004,0.18,4.28,2.75
59.260002,0.92,5.22,-0.04
59.370003,0,9.06,14
59.47,0.26,-0.51,14.63
59.57,5.73,0.12,-6.9
59.67,0.85,0.86,4.12
59.770004,0.98,10.24,17.02
59.880005,0.77,4.12,6.67
59.979996,0.12,0.82,-2.31
60.08,0.45,8.83,7.73
60.180008,0.85,-0.04,20.01
60.29001,0.71,3.22,-0.51
60.39,8,1.29,-4.16
60.490005,0.22,4.55,12.51
60.589996,0.49,-0.78,16.67
60.690002,0.84,-1.26,0.2
60.79001,0.22,2.08,6.32
60.90001,0.49,5.26,20.01
61,0.63,1.57,3.45
61.100006,5.26,-2.51,-2.12
61.199997,0.85,5.92,5.84
61.300003,0.97,-1.49,20.01
61.410004,0.31,2.71,-2.2
61.509995,0.16,3.37,3.22
61.61,0.59,5.22,13.65
61.710007,0.97,0.08,9.89
61.820007,8.24,-0.71,-5.33
61.92,0.12,3.69,4.9
62.020004,0.2,5.92,11.92
62.119995,0.1,-1.02,3.22
62.22,0.28,6.67,-3.33
62.33,0.33,14.47,8
62.430008,0.71,5.02,19.85
62.53,0.79,3.22,-5.18
62.630005,0.14,-0.9,-1.02
62.729996,0.01,7.85,17.18
62.83,0.16,1.33,9.69
62.940002,1.65,0.9,-1.45
63.04001,0.49,4.67,4.12
63.14,0.01,15.53,20.01
63.240005,0.46,-16.04,7.81
63.339996,6,-3.26,-0.98
63.449997,0.12,-0.47,3.88
63.550003,0.01,11.14,20.01
63.65001,0.71,0.71,8.71
63.75,0.75,1.22,-1.1
63.86,0.2,4.59,2
63.960007,0.4,19.97,8.2
64.06,0.02,4.55,10.94
64.16,0.43,-0.82,7.3
64.259995,0.47,4.24,-0.59
64.36,0.81,10.08,8.39
64.47,4.28,5.02,7.06
