NAME:,walk_1_2.csv,,
EXPERIMENT TIME:,06/6/2023 13:34,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,63,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
19.436,-7.464,-2.041,1.1
19.522,-8.17,-5.454,0.512
19.608,-10.994,0.077,3.258
19.694,-9.778,1.136,5.062
19.78,-6.836,-6.513,-2.665
19.866,-9.974,-2.943,-1.332
19.952,-7.228,-4.356,-0.665
20.038,-9.621,-1.061,-0.704
20.124,-8.915,-0.276,-0.782
20.21,-9.699,-5.689,-2.195
20.296,-14.132,-4.552,-1.92
20.382,-13.426,-2.904,1.454
20.468,-9.229,-3.846,1.493
20.554,-5.463,-3.649,-0.194
20.64,-6.365,-2.747,1.336
20.726,-8.209,-2.277,2.473
20.812,-13.308,-1.021,5.141
20.898,-5.267,-4.159,3.062
20.984,-4.208,-2.826,-3.332
21.07,-10.641,-6.827,-2.038
21.156,-9.464,-0.825,-0.861
21.242,-9.739,0.94,-0.155
21.328,-9.229,-3.257,-1.842
21.414,-10.523,-1.57,-3.175
21.5,-13.034,-5.532,-0.272
21.586,-10.641,-3.1,2.277
21.672,-5.267,-1.688,0.747
21.758,-5.345,-3.649,1.022
21.844,-10.406,-3.14,3.964
21.93,-9.974,0.862,5.69
22.016,-9.346,-7.925,-1.92
22.102,-9.268,-1.649,-2.234
22.188,-7.856,-3.179,-0.9
22.274,-9.464,-0.59,-0.076
22.36,-8.68,-2.394,-0.194
22.446,-9.307,-4.277,-1.096
22.532,-14.72,-3.689,-0.508
22.618,-16.29,-3.218,-0.194
22.704,-7.856,-2.12,1.061
22.79,-5.541,-3.1,0.394
22.876,-5.541,-4.316,0.747
22.962,-10.131,-3.493,2.983
23.048,-10.445,-0.237,4.945
23.134,-6.561,-6.238,-1.645
23.22,-12.877,-4.826,-1.292
23.306,-8.523,-2.943,-1.606
23.392,-9.503,-0.825,-0.469
23.478,-8.758,-1.845,-0.272
23.564,-10.013,-3.806,-1.292
23.65,-11.739,-0.864,-1.41
23.736,-19.035,-4.826,1.257
23.822,-7.895,-1.492,1.61
23.908,-5.541,-4.199,0.708
23.994,-5.463,-4.159,0.12
24.08,-10.68,-2.041,4.827
24.166,-10.719,-0.08,4.945
24.252,-16.172,-8.553,-3.293
24.338,-7.267,-1.257,-0.39
24.424,-7.071,-6.631,-2.116
24.51,-9.307,-0.472,-0.9
24.596,-8.248,-0.786,-0.704
24.682,-9.739,-2.355,-0.704
24.768,-14.838,-5.925,-1.763
24.854,-14.564,-6.984,0.316
24.94,-10.602,-1.57,1.532
25.026,-4.325,-1.296,0.394
25.112,-6.757,-3.493,1.375
25.198,-9.425,-2.943,3.101
25.284,-10.013,0.548,4.592
25.37,-19.741,-10.2,-3.136
25.456,-6.757,-1.767,-1.096
25.542,-7.307,-7.768,-1.881
25.628,-9.543,-0.472,-1.488
25.714,-9.699,-1.1,-1.057
25.8,-9.935,-4.473,-1.606
25.886,-11.151,-1.767,-2.744
25.972,-8.405,-4.983,0.355
26.058,-10.484,-4.12,2.277
26.144,-7.189,-2.826,0.512
26.23,-4.875,-2.669,0.316
26.316,-9.739,-4.199,2.395
26.402,-11.386,0.391,3.964
26.488,-6.404,0.469,3.964
26.574,-4.325,-6.238,-4.313
26.66,-11.935,-2.551,-1.92
26.746,-8.13,-0.472,-1.449
26.832,-9.111,-1.845,-0.586
26.918,-9.425,-1.021,-0.9
27.004,-9.464,-5.689,-1.881
27.09,-11.347,-3.649,-0.194
27.176,-16.643,-4.356,-0.822
27.262,-8.013,-3.179,1.061
27.348,-5.424,-1.531,0.865
27.434,-3.149,-2.512,1.375
27.52,-12.681,-0.864,4.67
27.606,-7.385,1.803,5.102
27.692,-14.603,-12.436,-1.842
27.778,-7.817,-2.08,-2.822
27.864,-7.817,-4.473,-1.332
27.95,-9.072,-0.825,-0.469
28.036,-8.287,-1.492,-0.429
28.122,-9.739,-4.709,-1.528
28.208,-14.72,-6.709,0.63
28.294,-15.976,-4.277,-0.861
28.38,-7.15,-2.708,0.355
28.466,-3.659,-3.1,0.865
28.552,-4.992,-3.336,2.199
28.638,-14.681,-1.257,3.297
28.724,-19.741,-8.2,4.631
28.81,-6.13,-5.219,-1.292
28.896,-8.954,-4.944,-1.175
28.982,-8.13,-1.061,-0.782
29.068,-8.915,-0.158,-0.194
29.154,-9.15,-2.747,-2.038
29.24,-10.013,-5.14,-1.881
29.326,-13.622,-6.121,-2.626
29.412,-14.367,-4.473,-0.116
29.498,-7.11,-3.061,-0.076
29.584,-5.306,-3.453,1.14
29.67,-5.62,-3.14,2.003
29.756,-11.975,-0.511,3.846
29.842,-8.68,0.822,5.494
29.928,-6.365,-6.748,-1.959
30.014,-8.836,-3.218,-2.548
30.1,-8.13,-2.433,-0.626
30.186,-9.503,-1.021,0.237
30.272,-8.052,-2.12,-0.469
30.358,-10.484,-2.512,-1.881
30.444,-6.679,-3.296,-1.135
30.53,-12.249,-4.003,-0.39
30.616,-5.894,-5.219,-0.782
30.702,-5.934,-3.767,0.63
30.788,-8.405,-4.709,1.767
30.874,-11.151,0.665,2.63
30.96,-7.738,1.685,4.121
31.046,-3.502,-5.022,-5.568
31.132,-13.544,-2.041,-1.135
31.218,-8.366,-0.59,0.041
31.304,-9.896,-0.119,0.787
31.39,-9.189,-3.061,-2.195
31.476,-10.837,-4.356,-2.195
31.562,-12.249,-5.964,-1.92
31.648,-13.661,-4.238,-0.626
31.734,-8.405,-2.63,0.904
31.82,-5.659,-2.394,0.708
31.906,-7.307,-3.963,2.238
31.992,-12.72,-0.511,4.278
32.078,-7.777,2.431,3.336
32.164,-8.013,-6.984,-1.606
32.25,-9.189,-1.021,-2.312
32.336,-6.444,-3.022,-0.39
32.422,-10.406,-2.433,-0.743
32.508,-9.072,-2.002,-1.292
32.594,-10.17,-6.356,-2.587
32.68,-10.052,-1.884,-0.547
32.766,-9.15,-4.199,-0.822
32.852,-10.484,-5.258,-1.175
32.938,-7.503,-4.042,0.983
33.024,-8.013,-2.159,1.924
33.11,-7.189,-1.884,2.591
33.196,-12.328,-0.354,3.846
33.282,-8.405,1.097,4.592
33.368,-19.741,-12.907,-1.998
33.454,-6.914,-2.786,-0.743
33.54,-9.15,-2.826,0.277
33.626,-9.425,-3.022,-0.116
33.712,-9.582,-0.943,-0.272
33.798,-9.386,-2.786,-0.782
33.884,-9.974,-5.415,-1.959
33.97,-12.485,-2.943,-2.234
34.056,-9.464,-3.885,0.237
34.142,-9.935,-2.865,-0.194
34.228,-7.777,-4.709,0.512
34.314,-8.248,-1.57,1.493
34.4,-7.934,-2.512,1.179
34.486,-10.837,-0.943,3.219
34.572,-6.914,0.038,3.925
34.658,-19.741,-12.632,-1.881
34.744,-6.247,-1.453,-3.45
34.83,-8.248,-4.944,-1.724
34.916,-9.778,-2.002,-1.606
35.002,-8.444,-3.728,-2.038
35.174,-9.15,-4.826,-0.822
35.26,-9.856,-3.1,-0.665
35.346,-11.072,-3.14,-0.116
35.432,-8.601,-6.945,-0.743
35.518,-9.386,-3.532,0.355
35.604,-7.895,-3.1,1.336
35.69,-8.758,-1.335,2.552
35.776,-6.365,-2.551,4.042
35.862,-9.935,-0.394,5.729
35.948,-10.602,-0.864,1.728
36.034,-19.663,-11.534,-1.488
36.12,-6.13,-4.63,-2.038
36.206,-8.954,-4.316,-2.234
36.292,-9.817,-1.1,-2.391
36.378,-9.111,-3.571,-2.587
36.464,-10.052,-0.825,-1.018
36.55,-9.268,-3.453,-0.861
36.636,-9.229,-2.747,-2.273
36.722,-12.485,-5.689,0.081
36.808,-12.994,-5.493,0.159
36.894,-8.248,-2.826,1.218
36.98,-7.032,-3.924,2.513
37.066,-7.385,-1.335,3.689
37.152,-8.876,-1.061,4.788
37.238,-10.798,0.234,4.552
37.324,-7.464,-2.63,-3.842
37.41,-14.72,-11.181,-2.744
37.496,-7.307,-2.904,-1.41
37.582,-9.974,-4.63,-2.077
37.668,-9.503,-0.276,-1.763
37.754,-9.425,-2.159,-1.528
37.84,-10.17,-2.002,-1.881
37.926,-9.739,-4.081,-1.763
38.012,-12.955,-5.022,1.061
38.098,-14.21,-3.14,0.277
38.184,-9.033,-3.571,1.336
38.27,-6.875,-3.022,3.101
38.356,-7.385,-0.786,3.886
38.442,-7.856,-0.315,5.455
38.528,-11.347,-1.57,4.278
38.614,-13.975,-8.239,-4.077
38.7,-3.149,-3.649,-2.195
38.786,-9.503,-5.572,-1.724
38.872,-9.739,0.116,-0.704
38.958,-9.229,-2.002,-1.92
39.044,-9.739,-3.179,-2.195
39.13,-10.013,-4.356,-3.45
39.216,-13.112,-6.238,0.394
39.302,-11.935,-4.552,0.865
39.388,-9.778,-3.571,1.14
39.474,-7.307,-3.1,2.905
39.56,-5.855,-0.315,4.396
39.646,-7.934,-1.139,6.318
39.732,-11.112,-1.217,4.67
39.818,-11.425,-6.591,-3.293
39.904,-4.953,-3.022,-2.351
39.99,-9.15,-5.925,-1.567
40.076,-10.013,-1.414,-0.704
40.162,-8.797,-2.002,-1.057
40.248,-9.543,-3.649,-1.332
40.334,-9.699,-4.63,-1.724
40.42,-10.052,-0.786,0.081
