NAME:,run4.csv,,
EXPERIMENT TIME:,8/06/2023 12:02,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,135,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
23.16,0.86,-2.08,2.04
23.26,13.57,-20.01,4.67
23.36,-3.3,-10.71,-13.73
23.460001,-4.67,-3.73,-5.41
23.56,-2.55,-0.9,-1.22
23.67,-16.24,-15.89,1.61
23.77,-7.57,-13.93,-3.84
23.87,0.65,-0.55,-6.32
23.970001,3.73,-4.2,0.39
24.08,10.04,-16.32,-0.63
24.18,4.24,-10.36,-2.31
24.28,4.39,-1.69,-4.86
24.380001,4.28,-9.34,-1.8
24.48,11.89,-12.79,-6.16
24.58,-5.53,-15.89,-2.47
24.69,0.92,3.14,2.59
24.79,5.49,-11.1,-2.9
24.890001,7.85,-9.69,0.31
24.99,3.3,-8.83,-1.84
25.1,0.49,-4.63,-1.33
25.2,7.49,-0.63,-5.37
25.300001,0.12,0.08,-9.3
25.4,0.73,2.94,-0.9
25.5,1.14,3.92,2.86
25.6,1.84,-7.41,-6.51
25.710001,0.22,-11.26,-15.77
25.81,-1.06,-11.38,-5.77
25.91,8.75,2.59,10.36
26.01,8.39,-20.01,-6.43
26.11,3.88,-11.06,-5.33
26.220001,1.49,-2.47,-4.08
26.32,0.98,0.51,-0.35
26.42,5.92,-20.01,-11.22
26.52,-0.59,-13.14,-17.02
26.62,0.39,-5.65,-6.28
26.73,-1.88,0,2.51
26.83,12.12,-18.04,-4.51
26.93,5.53,-17.65,-7.61
27.03,0.9,0.78,-2.59
27.130001,1.8,-2.98,-5.02
27.24,16.32,-15.65,8.08
27.34,-2.55,-10.4,-12.91
27.44,-2.31,-2.63,-4.59
27.54,9.02,-8.94,-4.24
27.65,-11.14,-12.59,-9.92
27.75,4.43,-14.83,-4.04
27.85,0.59,2,3.22
27.95,2.12,-15.26,-5.37
28.050001,-9.34,-9.96,0.86
28.15,-3.57,-9.02,0.39
28.26,-0.9,-0.86,2.39
28.36,7.77,-4.28,0.59
28.460001,7.41,-7.1,-6.98
28.56,-3.33,-7.57,-3.14
28.67,0.49,3.84,2.79
28.77,8.24,-3.92,3.69
28.87,-9.49,-6.24,-0.2
28.970001,5.06,-10.55,0.9
29.07,0.31,0.78,4.39
29.180002,8.87,-5.1,4.39
29.28,10,-7.22,-6.79
29.38,-0.78,-2.16,-1.29
29.480001,2.55,3.84,4.79
29.58,7.53,-8.83,-0.9
29.69,-7.41,-11.81,-5.37
29.789999,-3.84,-8.36,1.84
29.890001,0.35,1.02,4.04
29.99,5.61,-17.18,-0.86
30.090002,-7.41,-8.87,-10.36
30.199999,0.35,-0.04,-7.26
30.300001,3.57,2.31,-0.35
30.4,8.67,-16.67,-0.47
30.500002,6.16,-9.73,-13.69
30.6,5.53,-10.24,-8.12
30.699999,-2.39,-1.26,-3.41
30.81,13.34,-20.01,1.69
30.910002,-8.83,-7.88,-11.34
31.01,1.65,-0.86,-9.1
31.109999,0.55,3.3,5.92
31.22,-20.01,-20.01,-2.71
31.320002,-10.28,-11.53,-13.14
31.42,2.67,-2.59,-0.39
31.519999,0.78,-0.78,-3.06
31.62,20.01,-20.01,9.81
31.730001,13.61,-13.14,4.2
31.83,0.2,-1.1,-5.69
31.930002,0.08,5.1,-5.57
32.03,2.12,-4.12,-20.01
32.129997,9.65,3.33,1.57
32.239998,-1.41,3.41,1.37
32.34,9.96,-6.43,3.33
32.44,12.79,-1.88,-7.53
32.539997,9.1,-2.71,-7.53
32.64,0.31,-2.12,6.08
32.75,11.41,-2,-4.2
32.85,11.18,-4.71,-16.59
32.949997,6.83,-5.14,-5.18
33.05,0.08,2.08,5.18
33.149998,13.02,-7.77,-2.35
33.26,14.16,0.71,-9.26
33.359997,2.94,1.84,-7.85
33.46,4.04,-3.14,5.22
33.559998,11.69,-1.65,-2.67
33.66,9.45,-4.16,-17.26
33.769997,7.41,-4.2,-6.08
33.87,0.67,1.06,6.39
33.969997,13.49,-7.49,-0.94
34.07,10.9,-0.75,-12.71
34.17,1.57,0.59,-4.67
34.269997,0.24,-0.71,3.8
34.379997,17.81,-10.32,-11.61
34.48,-11.3,-2.47,-17.77
34.579998,4.63,-0.55,-10.79
34.68,0.75,0.47,-0.94
34.789997,19.97,-6.98,-10.24
34.89,10.71,-3.41,-13.1
34.989998,0.69,2.28,-4.35
35.09,2.67,0.63,-2.71
35.19,18.59,-9.65,-7.69
35.3,8.79,-1.69,-13.02
35.399998,-3.02,0.35,-4.9
35.5,5.02,-1.69,-1.57
35.6,18.55,-3.37,-10.98
35.699997,14.67,-2.98,-12.91
35.809998,0.67,2.82,-3.96
35.91,2.75,0.78,-5.22
36.01,18.83,-7.37,-14.16
36.109997,10.98,-6.32,-11.3
36.21,-5.26,-2,-4.71
36.32,5.02,-0.24,-2.9
36.42,20.01,-11.22,-5.96
36.519997,10.75,-8.51,-7.69
36.62,0.1,-0.86,-1.41
36.719997,12.2,-0.39,-16.32
36.829998,12,-3.77,-12.04
36.93,6.55,-5.77,-4.94
37.03,1.53,-0.16,2.94
37.129997,11.65,-3.88,-0.98
37.23,15.53,-1.77,-9.22
37.34,0.75,1.49,-7.85
37.44,0.14,1.61,6.79
37.539997,13.3,-10.08,-7.65
37.64,11.77,-3.92,-17.46
37.739998,5.06,-6.59,-8.55
37.85,1.33,0,3.45
37.949997,17.73,-9.41,-5.96
38.05,15.97,-5.57,-13.93
38.149998,0.24,4,-9.45
38.25,0.63,-0.51,-2.71
38.359997,20.01,-10.43,-7.73
38.46,6.75,-3.92,-14.67
38.559998,2.86,1.18,-8.43
38.66,3.14,1.33,-7.26
38.76,20.01,-9.53,-7.57
38.87,10.98,-8.16,-4.43
38.969997,0.37,1.26,-5.81
39.07,9.02,-3.84,-11.92
39.17,10.24,-5.06,-7.14
39.269997,8.36,-8.04,-3.49
39.379997,2.71,1.33,0.94
39.48,10.75,-6.12,-0.39
39.579998,14.51,-1.37,-9.57
39.68,0.47,3.49,-4.24
39.78,0.84,0.63,3.8
39.879997,-13.85,-10.51,-12.04
39.989998,8.12,-10.24,-15.53
40.09,4.82,-3.61,-6.28
40.19,2.08,-0.35,1.8
40.289997,15.3,-10,-7.26
40.399998,14.87,-10.83,-20.01
40.5,0.51,6.98,-2.04
40.6,1.69,-3.18,-3.41
40.699997,19.3,-7.49,-4.55
40.8,6.63,-4.35,-15.81
40.91,2.71,2.98,-10.12
41.01,3.92,0.12,-5.73
41.109997,17.57,-6.28,-13.38
41.21,1.33,-7.37,-1.88
41.309998,0.51,1.96,3.22
41.42,5.53,-4.12,-5.73
41.519997,13.93,-4.75,-1.37
41.62,9.14,-7.88,-9.89
41.719997,1.92,2.79,-6.28
41.82,2.08,-0.98,-4.12
41.93,17.81,-5.22,-11.49
42.03,2.98,-4.71,4.98
42.129997,0.61,3.69,-7.06
42.23,5.49,-0.9,-6.83
42.329998,19.5,-9.81,-4.75
42.44,6.47,-5.88,-13.14
42.539997,2.24,2.59,-4.35
42.64,-11.14,-4.67,-5.41
42.739998,15.73,-4,-12.04
42.84,5.49,-2.75,-1.29
42.949997,0.53,0.43,4.86
43.05,11.53,-5.18,-6.83
43.149998,11.61,-4.04,-10.16
43.25,8.2,-8.63,-5.1
43.35,1.92,0.12,6.94
