,walk_5_1.csv,,
EXPERIMENT TIME:,05/06/2023 20:34,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,98,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
18.122,7.02,-3.77,-4.35
18.163,6.32,-2.79,-3.57
18.204,6.35,-3.41,-5.3
18.245,11.06,-6.63,-6.08
18.286,10,-7.37,-6.2
18.327,7.73,-5.77,-11.53
18.368,4.04,-3.3,-13.81
18.409,3.92,-7.77,-10.83
18.45,5.57,-8.51,-8.2
18.491,4.79,-5.49,-7.92
18.532,4.31,-2.59,-4.67
18.573,5.92,-3.26,-3.84
18.614,3.96,-1.06,-4.12
18.655,2.86,-1.26,-2.59
18.696,4.39,-3.26,-2.08
18.737,7.1,-6.39,-6.12
18.778,7.57,-10.71,-12.2
18.819,6.94,-14.28,-4.28
18.86,4.63,-7.26,-11.26
18.901,5.53,-7.14,-15.65
18.942,4.08,-3.88,-9.73
18.983,3.53,0.2,-7.53
19.024,1.57,-0.98,-3.49
19.065,3.77,-3.65,-5.81
19.106,5.49,-4.63,-7.41
19.147,5.1,-6.86,-4.98
19.188,5.96,-5.33,-4.59
19.229,5.92,-4.28,-4.08
19.27,6.12,-2.94,-4.12
19.311,8.39,-4.94,-5.65
19.352,11.34,-6.47,-6.08
19.393,9.3,-6.98,-7.61
19.434,8.47,-5.26,-13.73
19.475,3.77,-3.06,-14.83
19.516,4.2,-8.98,-8.2
19.557,3.65,-5.61,-7.26
19.598,5.84,-3.41,-6.63
19.639,5.41,-4.39,-4.82
19.68,4.28,-2.55,-5.22
19.721,2.67,-1.57,-3.77
19.762,3.49,-3.26,-1.06
19.803,5.3,-5.61,-4.43
19.844,7.3,-7.92,-9.81
19.885,9.38,-11.14,-6.55
19.926,7.22,-9.57,-8.98
19.967,2.9,-5.96,-16.24
20.008,3.41,-6,-9.85
20.049,3.26,-1.84,-6.55
20.09,3.33,-0.51,-5.33
20.131,2.79,-4.82,-3.45
20.172,6.32,-5.18,-7.73
20.213,5.45,-5.57,-7.49
20.254,4.67,-5.33,-5.26
20.295,5.57,-4.47,-4.9
