NAME:,Walk_2_1,,
EXPERIMENT TIME:,06/06/2023 12:02,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,95,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
27.4640083,-1.88,-8.32,-3.96
27.5450083,0.35,-9.06,-3.65
27.6260083,-0.51,-12.47,-2.31
27.7070083,-2.71,-8.67,-10.2
27.7880083,4.31,-7.3,-6.43
27.8690083,-4.98,-9.45,-5.26
27.9500083,2.2,-5.92,-3.02
28.0310083,1.37,-8.71,-3.65
28.1120083,-0.86,-9.92,-2.86
28.1930083,1.69,-11.14,-1.73
28.2740083,2.2,-9.89,-9.14
28.3550083,-6.47,-7.96,-7.14
28.4360083,3.37,-8.28,-4.71
28.5170083,-1.18,-4.28,-2.67
28.5980083,-2.43,-9.14,-4.08
28.6790083,0.2,-8.59,-2.67
28.7600083,-2.12,-12.32,-2
28.8410083,-4.16,-9.14,-8.04
28.9220083,6.08,-10.28,-7.26
29.0030083,-5.49,-7.57,-4.31
29.0840083,2.08,-5.73,-2.43
29.1650083,1.1,-9.14,-3.1
29.2460083,0.08,-10.32,-3.26
29.3270083,3.49,-10.75,-2.08
29.4080083,1.69,-9.57,-10.04
29.4890083,-4.08,-8.04,-5.81
29.5700083,2.2,-8.43,-5.06
29.6510083,-2.51,-7.49,-3.37
29.7320083,-1.49,-7.49,-2.79
29.8130083,0,-9.49,-4.28
29.8940083,-1.22,-12.08,-2
29.9750083,-3.33,-8.32,-10.79
30.0560083,0.98,-6,-5.53
30.1370083,-3.14,-9.22,-6.04
30.2180083,2.2,-7.45,-3.06
30.2990083,1.45,-7.69,-2.94
30.3800083,-0.39,-10.51,-3.49
30.4610083,0.31,-12.36,-1.06
30.5420083,2.31,-9.65,-9.53
30.6230083,-4.2,-9.34,-6.75
30.7040083,4.16,-9.34,-4.16
30.7850083,-3.22,-6,-2.35
30.8660083,-2.04,-8.16,-3.41
30.9470083,1.22,-9.38,-3.3
31.0280083,-1.06,-13.22,-2.2
31.1090083,-3.65,-8.63,-10.32
31.1900083,4.28,-9.18,-6.39
31.2710083,-5.26,-8.67,-5.73
31.3520083,2.75,-6.04,-3.02
31.4330083,1.22,-8.32,-3.65
31.5140083,-0.55,-9.18,-3.14
31.5950083,3.22,-10.75,-2.04
31.6760083,-1.1,-12.63,-9.3
31.7580083,-5.53,-6.16,-7.77
31.8380083,1.88,-8.71,-6.51
31.9200083,0.12,-6.35,-3.45
32.0000083,-1.49,-5.14,-3.02
32.0810083,-1.92,-9.06,-4.04
32.1630083,-0.43,-11.89,-2.59
32.2430083,-3.61,-8.83,-9.18
32.3240083,3.3,-8.59,-8.16
32.4050083,-5.61,-7.73,-5.53
32.4860083,2.98,-4.39,-3.41
33.2150083,-1.02,-9.38,-2.43
33.2960083,-3.06,-11.61,-2.35
33.3770083,-6.59,-9.81,-12.87
33.4580083,3.06,-7.22,-4.9
33.5390083,-4.43,-9.85,-5.26
33.6200083,2.51,-5.69,-3.61
33.7010083,1.02,-8.71,-4.82
33.7820083,-0.75,-9.1,-3.73
33.8630083,-0.27,-12.04,-2.82
33.9440083,2.86,-8,-8.98
34.0250083,-5.1,-6.63,-6.55
34.1060083,4.55,-8.32,-6.12
34.1870083,-2.63,-4.12,-2.79
34.2680083,-2.12,-8.79,-4.51
34.3490083,0.55,-8.55,-3.73
34.4300083,-2.2,-12.75,-3.02
34.5110083,-3.26,-9.85,-9.1
34.5920083,3.1,-5.41,-4.82
34.6730083,-3.96,-9.34,-6.08
34.7540083,0.9,-5.45,-3.45
34.8350083,1.22,-9.65,-4.24
34.9160083,-0.35,-8.36,-2.71
34.9970083,0.51,-10.67,-3.49
35.0780083,0.78,-10.75,-6.63
35.1590083,-1.77,-6.47,-8.43
35.2400083,0.94,-8.12,-6.32
35.3210083,-0.55,-3.88,-3.45
35.4020083,-2.75,-9.3,-4.75
35.4830083,-0.94,-7.77,-2.2
35.5640083,-1.14,-12.59,-3.33
35.6450083,-2.39,-11.38,-6.67
35.7260083,0.39,-5.53,-8.39
35.8070083,-2.43,-6.86,-5.77
35.8880083,-0.2,-4.55,-4.16
35.9690083,1.69,-9.89,-4.82
36.0500083,0.35,-7.45,-3.18
36.1310083,0.24,-10.08,-3.96
36.2120083,2.31,-10.16,-6.98
36.2930083,-0.51,-6.83,-10.59
36.3740083,0,-9.18,-6.43
36.4550083,-0.24,-3.53,-3.65
36.5360083,-3.1,-9.53,-4.98
36.6170083,-1.1,-7.1,-2.71
36.8600083,1.41,-7.73,-9.45
36.9410083,-2.04,-6.71,-4.55
37.0220083,-0.35,-4.86,-4
37.1030083,0.86,-9.77,-4.51
37.1840083,0.43,-6.16,-3.26
37.2650083,-0.31,-10.51,-5.14
37.3460083,1.77,-12.24,-2.59
37.4270083,2.08,-10.47,-9.26
37.5080083,-6.63,-10.16,-5.57
37.5890083,5.73,-7.96,-3.53
37.6700083,-2.98,-5.84,-3.02
37.7510083,-2,-7.69,-3.96
37.8320083,-0.63,-8.04,-3.96
37.9130083,-2.63,-14.36,-5.14
37.9940083,-2.28,-8.51,-7.49
38.0750083,3.45,-4.94,-4.9
38.1560083,-4.59,-10.63,-7.88
38.2370083,0.35,-3.33,-3.1
38.3180083,0.27,-9.89,-5.1
38.3990083,-0.16,-7.85,-4.35
38.4800083,0.86,-9.77,-4.55
40.1830083,-0.75,-7.37,-1.69
40.2640083,-1.22,-12.2,-3.77
40.3450083,-2.47,-9.89,-4.75
41.2360083,-3.84,-10.12,-4.98
41.3170083,0.39,-6.94,-2
41.3980083,-1.02,-13.49,-3.41
41.7220083,0.98,-4.2,-3.06
41.8030083,0.59,-9.69,-4.04
41.8840083,-0.24,-8.83,-2.86
41.9650083,0.59,-11.14,-3.02
42.0460083,1.02,-11.41,-6.39
42.1270083,-2.2,-6.04,-8.24
42.2080083,1.61,-7.69,-7.02
42.2890083,-0.51,-3.57,-3.37
42.3700083,-2.82,-8.71,-4.63
42.4510083,-0.55,-7.73,-2.28
42.5320083,-1.49,-12.24,-2.98
42.6130083,-1.57,-10.9,-7.06
42.6940083,0.78,-5.18,-9.06
42.7750083,-2.2,-5.88,-5.73
42.8560083,-0.63,-5.57,-4.59
42.9370083,2.31,-9.69,-4.98
43.0180083,1.1,-7.49,-3.3
43.0990083,-0.94,-10.08,-4.75
43.1800083,2.04,-12.32,-2.9
43.2610083,1.69,-7.49,-9.53
43.3420083,-3.8,-10.36,-6.63
43.4230083,3.33,-5.37,-4.47
43.5040083,-3.92,-7.85,-3.88
43.5850083,-1.49,-7.77,-2.98
43.6660083,0.39,-11.1,-4.16
43.7470083,-3.37,-10.67,-5.33
43.8280083,-1.22,-6.75,-11.77
43.9090083,-1.02,-7.81,-5.41
43.9900083,-2.9,-4.2,-4.28
44.0710083,3.18,-10.16,-4.2
44.1520083,0.75,-7.14,-3.14
44.2330083,-0.2,-10.36,-4.39
44.3140083,-1.26,-13.42,-2.2
44.3950083,3.92,-9.41,-10.71
44.4760083,-4.67,-9.53,-6.51
44.5570083,2.79,-7.69,-3.88
44.6380083,-2.98,-7.06,-3.84
44.7190083,-1.22,-6.08,-3.1
44.8000083,-0.86,-10.55,-3.8
44.8810083,-0.51,-12.24,-2.94
44.9620083,-3.84,-11.18,-10.59
45.0430083,3.14,-4.43,-4.82
45.1240083,-4.28,-9.26,-5.88
45.2050083,2.12,-6.43,-4.24
45.2860083,0.82,-8.28,-4.71
45.3670083,-0.51,-9.69,-3.53
45.4480083,0.31,-10.16,-4.08
45.5290083,2.12,-9.77,-3.69
45.6100083,2.16,-7.26,-10.83
45.6910083,-2.51,-9.34,-6.86
45.7720083,1.92,-6.2,-5.02
45.8530083,-3.37,-7.81,-4.24
45.9340083,-2.16,-6.59,-2.9
46.0150083,-1.06,-10.55,-4.43
46.0960083,-0.82,-11.02,-3.49
46.1770083,-3.26,-8,-12.47
46.2580083,-1.22,-6.86,-5.1
46.3390083,-0.16,-6.83,-5.53
46.4200083,1.77,-7.77,-4.47
46.5010083,0.98,-7.41,-3.77
46.5820083,0.24,-10.4,-4.51
46.6630083,-0.35,-12.71,-2.04
46.7440083,2.82,-7.06,-10.2
46.8250083,-2.63,-8.43,-6.32
46.9060083,3.37,-8.9,-4.47
47.2300083,0.04,-13.14,-4.59
47.3110083,-4.59,-12.94,-11.06
47.3920083,3.53,-3.18,-1.77
48.2020083,-3.77,-8.47,-4.71
48.2830083,-1.92,-6.51,-3.02
48.3640083,0.75,-10.2,-4.08
49.1740083,-6.04,-6.9,-7.65
50.7130083,-1.53,-12.32,-3.02
50.7940083,-1.02,-10.51,-6.32
50.8750083,5.77,-8.87,-9.38
50.9560083,-5.45,-5.02,-5.14
51.0370083,2.75,-5.22,-3.33
51.1180083,1.14,-9.14,-2.43
51.1990083,0.9,-8.36,-3.14
51.2800083,0.67,-10.75,-2.59
51.3610083,1.57,-9.96,-7.49
51.4420083,-5.45,-9.85,-10.47
51.5230083,2.04,-5.06,-5.53
51.6040083,-1.29,-2.63,-3.61
51.6850083,-4.82,-11.3,-5.14
51.7660083,0.71,-6.39,-1.22
51.8470083,-0.9,-13.18,-2.04
51.9280083,-4.71,-11.22,-9.06
52.0090083,6.32,-8.47,-10.63
52.0900083,-6.83,-6.63,-3.84
