NAME:,run_2_1,,
EXPERIMENT TIME:,06/06/2023 12:45,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,170,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
29.212,-2.31,-4.16,-2.71
29.279,-18.08,-20.01,20.01
29.346,-5.57,3.14,10.47
29.413,-1.29,-1.88,1.41
29.48,-0.82,7.77,3.8
29.547,20.01,-6.08,20.01
29.614,3.77,-5.1,-1.57
29.681,-13.42,-20.04,20.01
29.748,-9.57,-11.14,16.08
29.815,-4.98,-0.75,-3.3
29.882,-2.71,-3.26,-11.61
29.949,3.53,-0.35,-7.02
30.016,-19.22,-3.14,20.01
30.083,-12.12,-0.86,5.26
30.15,-14.71,9.14,9.89
30.217,-8.32,-13.81,18.48
30.284,0.63,-13.34,3.3
30.351,4.16,6.28,-17.1
30.418,-20.01,-0.47,18.2
30.485,-5.96,-1.49,7.14
30.552,-2.28,-0.35,-1.61
30.619,-1.88,-5.33,-0.16
30.686,-2.24,1.73,-8.43
30.753,-19.97,-8.75,20.01
30.82,-7.61,-7.69,8.04
30.887,-4.35,14.63,-1.96
30.954,-10.28,-14.51,17.97
31.021,-0.47,-14,5.22
31.088,-8.59,7.26,20.01
31.155,-9.14,-9.18,15.61
31.222,-4.82,-1.22,-0.35
31.289,-2.04,-4.2,-1.69
31.356,0.04,-3.26,-4.43
31.423,-20.01,-20.01,20.01
31.49,-12.36,-4.43,12.75
31.557,-1.06,-0.9,4.71
31.624,-4.24,-1.88,11.06
31.691,20.01,4.16,2.2
31.758,1.18,-7.69,-0.63
31.825,-16.95,-20.01,20.01
31.892,-4.9,-6.28,5.88
31.959,-3.92,-3.88,-2.39
32.026,-2.12,1.26,-6.79
32.093,-4.08,-1.26,-2.75
32.16,20.01,20.01,20.01
32.227,-17.53,-9.96,15.49
32.294,-2.75,6.08,2.98
32.361,-5.57,-8.39,19.1
32.428,5.02,-13.85,2.82
32.495,3.88,1.96,-9.41
32.562,-15.81,-20.01,20.01
32.629,-6.32,-3.06,10.59
32.696,-4.28,-0.27,-0.04
32.763,-0.55,-4.86,1.26
32.83,0.47,5.14,-10.63
32.897,-2.82,-20.01,20.01
32.964,-10.94,-11.45,8.28
33.031,-1.37,8.47,0.12
33.098,-11.06,-13.61,18.67
33.165,1.14,-13.22,3.73
33.232,2.59,-3.02,-3.33
33.299,-17.26,-20.01,20.01
33.366,-4,-2.75,8.24
33.433,-2.47,2.79,-2.75
33.5,-1.53,-1.65,-0.12
33.567,4.98,4.12,-9.69
33.634,-5.3,-15.22,20.01
33.701,-9.34,-4.04,-0.75
33.768,-0.67,13.61,-4.59
33.835,-10.28,-19.69,20.01
33.902,0.04,-12.28,3.69
33.969,6.12,13.73,-17.61
34.036,-12.4,-4.71,20.01
34.103,-3.26,5.26,-2.51
34.17,-3.65,-4.9,1.37
34.237,-2.43,-4.98,-1.73
34.304,-11.81,-7.49,11.57
34.371,-19.14,-3.18,18.32
34.438,-9.61,-2.67,1.37
34.505,0.51,8.75,-7.49
34.572,-3.45,-7.88,17.26
34.639,0.35,-11.77,6.04
34.706,1.18,18.79,19.38
34.773,-10.94,-6.24,15.1
34.84,-5.77,-0.43,1.02
34.907,-2.82,-2.2,-0.43
34.974,-2.04,-5.26,-1.77
35.041,-18.63,-20.01,20.01
35.108,-10.2,-4.2,14.28
35.175,-4.59,-2.31,4.59
35.242,-2.2,3.69,1.1
35.309,20.01,20.01,17.69
35.376,1.77,-10.32,4.71
35.443,-20.01,-20.01,20.01
35.51,-12.08,-10.98,17.38
35.577,-6.28,1.41,2.24
35.644,-1.8,-5.22,1.65
35.711,0.67,-3.92,-4.43
35.778,-16.99,-20.01,20.01
35.845,-13.49,-17.57,11.41
35.912,-2.94,4.24,0.27
35.979,-10.4,-19.69,15.81
36.046,3.88,-9.92,12.55
36.113,1.69,-8.83,1.73
36.18,-7.53,-20.01,20.01
36.247,-1.88,-7.49,13.61
36.314,-4.35,-1.41,3.33
36.381,-0.75,-1.06,-3.33
36.448,0.59,-3.61,-0.12
36.515,-10.43,-19.5,20.01
36.582,-13.57,-11.38,14.75
36.649,-2.51,2.31,1.49
36.716,-7.96,-2.47,7.77
36.783,20.01,20.01,-6.43
36.85,3.77,-17.89,2.35
36.917,-16.28,-20.01,20.01
36.984,-2.47,-2.12,5.33
37.051,-3.02,-0.94,-2
37.118,-1.1,-5.57,0.12
37.185,-0.63,3.33,-6.12
37.252,-11.41,-20.01,20.01
37.319,-6.16,-1.57,9.57
37.386,-6.71,-4.79,7.41
37.453,-6,-3.57,14.44
37.52,2.59,-16.87,2.16
37.587,5.02,-0.16,-5.61
37.654,-20.01,-19.34,20.01
37.721,-5.81,-3.77,7.61
37.788,-2.94,-3.06,0.51
37.855,-1.73,-1.92,-0.78
37.922,4.43,4.71,-13.96
37.989,3.37,20.01,20.01
38.056,-5.26,-3.3,7.53
38.123,-6.67,7.26,6.9
38.19,-8.43,-11.92,13.61
38.257,4.39,-20.01,2.47
38.324,9.18,13.02,-15.18
38.391,-13.85,-2.98,19.38
38.458,-5.06,-2.86,3.96
38.525,-1.88,-1.61,-0.2
38.592,-1.45,-2.9,-2.55
38.659,-9.18,-4.9,5.57
38.726,2.39,7.81,5.18
38.793,-2.94,-2.59,5.53
38.86,-1.49,-1.33,12.91
38.927,19.61,2.86,20.01
38.994,2.82,-11.57,1.77
39.061,-20.01,-19.85,20.01
39.128,-8.24,-10.12,16.4
39.195,-2.2,1.1,-1.14
39.262,-0.24,-2.86,-1.22
39.329,2.86,-0.2,-4.63
39.396,-13.65,-20.01,20.01
39.463,-6.75,-0.55,9.1
39.53,-1.45,-0.94,2.63
39.597,-3.41,-4.31,10.12
39.664,8.2,-12.63,-2.08
39.731,2.47,-0.63,-4.2
39.798,20.01,20.01,20.01
39.865,-6.24,-3.92,10.63
39.932,-4.12,-1.06,3.1
39.999,-0.16,-1.37,-1.26
40.066,4.2,5.69,-11.81
40.133,-5.18,-20.01,20.01
40.2,-8.83,-7.34,14.2
40.267,-19.65,0,17.81
40.334,1.22,-3.88,7.61
40.401,6.32,-15.06,1.84
40.468,5.26,6.08,-15.22
40.535,-18.44,-20.01,20.01
40.602,-4,-1.41,5.96
40.669,-1.02,0.04,-1.57
40.736,-0.35,-4.35,-0.94
40.803,-0.86,-0.24,-2.31
40.87,-6.04,-20.01,20.01
40.937,-7.77,-6.47,7.22
41.004,-4.28,15.38,-3.14
41.071,-3.84,0.35,7.65
41.138,-1.8,-17.42,13.65
41.205,18.2,-20.01,20.01
41.272,-11.61,-3.14,13.96
41.339,-2.31,2.67,-3.02
41.406,-0.55,-2.67,-1.1
41.473,-1.57,-0.98,-2.24
41.54,-13.3,-20.01,20.01
41.607,-4.79,-0.08,6.2
41.674,-6.71,-3.06,4.2
41.741,3.45,10.75,-9.02
41.808,-3.14,-9.14,11.41
41.875,8.39,-0.04,-6.43
41.942,-17.42,-11.53,20.01
42.009,-8.79,-5.49,11.49
42.076,-4,-3.1,-0.2
42.143,-2.31,-0.55,-2.04
42.21,-1.61,4.47,-8.98
42.277,0.39,-15.34,20.01
42.344,-6.04,-11.18,6.75
42.411,-4.08,5.88,2.28
42.478,-9.34,-15.18,19.77
42.545,2.28,-10.75,2.2
42.612,3.92,11.69,-18.04
42.679,-20.01,18.48,20.01
42.746,-6.59,-2.47,7.06
42.813,-1.92,-0.59,-1.84
42.88,-0.55,-5.1,-0.24
42.947,3.73,3.33,-12.08
43.014,-20.01,-20.01,20.01
43.081,-20.01,19.18,6.59
43.148,-3.84,12.47,-2.9
43.215,-2.47,-5.14,12.83
43.282,-0.78,-14.51,6.98
43.349,8.98,20.01,-20.01
43.416,-13.26,-3.69,16.4
43.483,-5.18,-1.26,2.82
43.55,-2.67,-6.9,0.08
43.617,-0.78,-3.37,-3.88
43.684,-8.24,-15.69,20.01
43.751,-11.41,-8,18.24
43.818,-7.1,-3.18,4.79
43.885,-2.47,2.35,5.53
43.952,20.01,-9.73,20.01
44.019,0.9,-3.45,-0.24
44.086,20.01,-20.01,20.01
44.153,-2.98,-4,6.75
44.22,-3.84,-2.59,-3.84
44.287,-0.43,-8.94,-7.61
44.354,-4.12,6,-12.83
44.421,-11.1,-20.01,20.01
44.488,-6.86,-7.37,7.49
44.555,-3.53,9.14,3.49
44.622,1.41,-2.12,6.47
