"NAME:","run_5_3.csv"
"EXPERIMENT TIME:","08/06/2023 10:51"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","147"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"27.077","-5.49","-1.53","-10.4"
"27.172","-0.08","-3.22","-5.18"
"27.281","0.63","-1.73","-8.12"
"27.378","-1.41","0.0","-20.01"
"27.489","-4.2","0.55","-8.12"
"27.581","-4.12","0.82","-2.35"
"27.679","-5.65","1.61","-5.37"
"27.778","-7.14","-1.53","-19.97"
"27.885","-3.57","-1.29","-11.1"
"27.98","0.82","-3.3","-5.41"
"28.072","-0.39","2.24","-14.32"
"28.171","-4.94","0.63","-17.85"
"28.278","-2.63","1.41","-7.22"
"28.383","-3.49","1.77","-7.41"
"28.487","-6.67","1.45","-13.06"
"28.585","-4.35","1.1","-14.12"
"28.683","2.51","4.04","-13.14"
"28.787","3.06","1.8","-14.16"
"28.891","0.04","-0.2","-19.18"
"28.987","-2.28","0.35","-14.63"
"29.091","-2.59","0.98","-2.94"
"29.194","-4.75","2.35","-7.06"
"29.753","-7.1","-1.77","-15.46"
"30.268","2.63","-2.43","-9.96"
"30.276","0.27","4.12","-16.95"
"30.284","-1.96","2.43","-5.37"
"30.291","-4.94","2.35","-3.14"
"30.299","-7.81","0.86","-12.28"
"30.306","-3.02","2.59","-16.08"
"30.322","-0.04","-5.14","-5.61"
"30.33","0.63","-3.96","-8.32"
"30.398","2.0","2.43","-17.89"
"30.498","-0.78","3.77","-16.2"
"30.604","-5.1","1.1","-4.63"
"30.707","-4.39","1.92","-6.9"
"30.813","-6.35","3.65","-18.44"
"30.909","-5.18","2.98","-14.04"
"31.011","0.59","-2.71","-5.81"
"31.116","2.55","0.24","-11.02"
"31.221","2.39","0.24","-16.24"
"31.385","-2.86","0.43","-5.3"
"31.409","-4.9","2.2","-6.67"
"31.506","-3.53","2.24","-10.04"
"31.62","-2.63","-0.24","-12.43"
"31.72","-1.88","-1.14","-10.79"
"31.819","-0.04","-3.33","-6.83"
"31.923","-3.65","-3.69","-15.53"
"32.026","-2.71","-3.26","-11.41"
"32.132","-2.55","0.39","-1.92"
"32.262","-3.69","1.22","-7.37"
"32.313","-6.67","-0.27","-8.75"
"32.427","-8.39","2.59","-17.06"
"32.525","-0.27","-2.98","-6.94"
"32.623","5.02","-2.35","-8.39"
"32.737","-2.55","0.55","-15.53"
"33.095","-3.77","-0.08","-11.06"
