"NAME:","walk_1_1.csv","",""
"EXPERIMENT TIME:","08/06/2023 12:25","",""
"ACTIVITY TYPE:","Walking","",""
"COUNT OF ACTUAL STEPS: ","108","",""
"","","",""
"Time [sec]","ACC X","ACC Y","ACC Z"
"17.25299","0.35","8.94","-2.16"
"17.323975","10.20","2.67","-2.90"
"17.394989","7.96","5.06","1.69"
"17.466003","5.41","6.51","2.31"
"17.536987","6.20","4.16","2.00"
"17.608002","2.35","5.45","1.29"
"17.678986","7.30","7.02","2.67"
"17.75","5.26","8.63","1.73"
"17.820984","7.37","7.34","8.36"
"17.891998","14.36","3.73","2.47"
"17.962982","5.41","8.43","5.14"
"18.033997","5.53","3.69","0.71"
"18.10498","4.16","4.24","-0.43"
"18.175995","3.73","4.94","-1.26"
"18.246979","6.83","5.73","3.92"
"18.317993","2.86","5.14","3.53"
"18.388977","3.88","4.90","3.49"
"18.459991","9.69","5.37","3.22"
"18.530975","1.53","3.69","1.26"
"18.60199","4.24","3.49","1.06"
"18.672974","3.37","5.96","3.02"
"18.743988","6.83","7.26","4.12"
"18.815002","6.08","10.36","1.88"
"18.885986","10.47","1.73","7.06"
"18.957","9.96","5.53","2.98"
"19.027985","4.08","7.26","2.67"
"19.098999","4.39","3.14","0.08"
"19.169983","3.22","4.16","-1.88"
"19.240997","6.94","7.37","1.14"
"19.311981","9.06","13.93","-2.39"
"19.382996","10.00","-0.16","-0.63"
"19.45398","9.34","6.86","0.63"
"19.524994","8.47","7.06","4.35"
"19.595978","4.98","3.49","1.18"
"20.85498","4.43","8.94","2.20"
"20.925995","5.96","8.87","7.61"
"21.849976","7.26","6.90","2.98"
"21.92099","7.34","9.69","2.67"
"21.991974","7.96","8.20","7.81"
"22.843994","4.20","5.92","1.49"
"22.914978","5.84","6.59","3.92"
"22.985992","7.37","8.43","2.63"
"23.056976","13.26","3.18","4.04"
"23.12799","6.08","8.55","4.12"
"23.198975","7.02","6.28","0.31"
"23.269989","4.47","4.31","-0.86"
"23.341003","3.57","5.69","-1.73"
"23.411987","4.71","4.28","2.75"
"23.483002","5.06","9.18","-0.16"
"23.553986","6.00","6.59","1.96"
"23.625","9.85","4.08","0.31"
"23.695984","4.98","6.94","2.75"
"23.766998","5.61","4.51","1.73"
"23.837982","4.71","6.32","1.96"
"23.908997","4.39","5.88","2.55"
"23.97998","7.26","6.90","3.57"
"24.050995","6.47","9.26","3.57"
"24.121979","4.55","5.49","4.16"
"24.192993","12.59","4.24","0.90"
"24.263977","5.02","7.49","4.20"
"24.334991","7.37","3.69","-1.18"
"24.405975","3.96","5.10","0.04"
"24.47699","5.02","5.02","-0.67"
"24.547974","6.90","8.51","-3.06"
"24.618988","7.65","9.77","1.37"
"24.690002","5.96","3.69","-0.98"
"24.760986","10.20","4.94","0.27"
"24.832","3.41","6.08","3.06"
"24.902985","5.41","4.90","1.92"
"24.973999","3.92","4.63","0.75"
"25.044983","5.96","6.35","2.43"
"25.115997","6.94","7.34","2.75"
"25.186981","6.63","8.94","4.31"
"25.257996","9.96","3.84","5.84"
"25.32898","7.10","8.43","4.04"
"25.399994","6.35","5.37","0.90"
"25.470978","4.24","3.18","0.12"
"25.541992","4.67","5.22","-0.78"
"25.612976","6.98","6.28","-1.06"
"25.68399","8.04","11.53","-2.63"
"25.754974","15.02","7.61","3.73"
"25.825989","5.53","5.77","4.00"
"25.897003","8.71","5.88","0.43"
"25.967987","4.55","4.82","1.80"
"26.039001","4.47","5.92","2.12"
"26.109985","5.10","6.79","2.31"
"26.181","6.12","7.85","3.77"
"26.251984","5.41","9.38","3.26"
"26.322998","7.85","4.94","6.08"
"26.393982","9.81","5.53","3.06"
"26.464996","4.82","6.16","2.35"
"26.53598","5.22","3.14","-0.78"
"26.606995","4.82","4.67","-1.45"
"26.677979","5.69","6.94","-0.20"
"26.748993","7.26","9.26","0.31"
"26.819977","9.10","7.96","4.63"
"26.890991","4.71","6.28","1.84"
"26.961975","8.55","4.39","0.90"
"27.03299","3.65","4.94","1.88"
"27.104004","5.02","4.86","2.28"
"27.174988","3.88","5.81","1.33"
"27.246002","5.65","7.73","3.06"
"27.316986","7.30","8.90","2.79"
"27.388","6.24","7.41","7.30"
"27.458984","11.18","4.67","3.02"
"27.529999","4.82","6.35","3.18"
"27.600983","5.22","3.53","-0.75"
"27.671997","4.59","4.51","-0.75"
"27.742981","4.35","6.59","-0.86"
"27.813995","7.61","6.55","2.16"
"27.88498","12.43","6.04","5.96"
"27.955994","2.12","6.51","5.41"
"28.026978","9.69","5.41","-0.39"
"28.097992","4.35","4.35","1.96"
"28.807983","5.57","7.73","0.27"
"28.878998","10.20","11.92","-1.37"
"28.949982","14.40","9.10","2.00"
"29.872986","7.14","7.10","0.78"
"29.944","9.77","12.59","-2.31"
"30.937988","7.14","8.71","-0.94"
"31.293","4.75","4.24","2.00"
"31.363983","3.92","5.02","1.45"
"31.434998","4.43","6.00","1.88"
"31.505981","7.61","7.10","4.24"
"31.576996","6.20","10.12","2.59"
"31.64798","8.59","4.39","6.43"
"31.718994","10.79","6.94","3.77"
"31.789978","5.22","5.53","3.26"
"31.860992","5.33","2.63","-0.67"
"31.931976","3.73","4.51","-0.59"
"32.00299","5.10","8.12","-0.71"
"32.073975","9.85","8.63","-1.10"
"32.14499","13.10","7.14","7.41"
"32.216003","4.35","2.90","2.35"
"32.286987","8.83","5.81","0.08"
"32.358","4.82","4.24","1.18"
"32.428986","4.08","5.73","1.80"
"32.5","3.88","5.45","2.04"
"32.570984","7.53","7.18","4.04"
"32.642","7.22","10.36","3.22"
"32.712982","6.59","5.10","6.83"
"32.783997","10.40","4.86","3.30"
"32.85498","4.31","6.16","3.61"
"32.925995","4.63","3.57","-0.51"
"32.99698","4.04","4.63","-1.33"
"33.067993","6.08","8.24","-0.63"
"33.138977","9.89","11.53","-1.22"
"33.20999","17.46","10.32","4.55"
"33.280975","5.33","5.22","4.35"
"33.35199","8.87","6.08","1.41"
"33.422974","5.57","3.96","1.88"
"33.493988","3.88","5.41","1.22"
"33.565002","4.35","6.86","1.96"
"33.635986","5.88","7.57","2.75"
"33.707","5.18","9.02","3.96"
"33.777985","9.77","2.90","6.47"
"33.849","9.06","6.63","3.84"
"33.919983","4.82","6.90","3.22"
"33.990997","5.53","3.65","-0.82"
"34.06198","3.96","5.26","-0.59"
"34.132996","5.45","6.35","-0.86"
"34.20398","10.04","10.43","-1.22"
"34.274994","16.48","9.92","5.22"
"34.345978","3.84","5.26","5.49"
"34.416992","8.47","4.63","-0.51"
"34.487976","5.02","4.31","1.92"
"34.55899","4.08","5.37","2.00"
"34.629974","4.55","6.12","1.84"
"34.70099","7.41","7.41","3.57"
"34.772003","5.77","9.57","3.14"
"34.842987","6.98","3.92","6.24"
"34.914","11.34","5.96","4.00"
"34.984985","4.94","6.86","2.82"
"35.056","4.82","2.55","-0.59"
"35.126984","4.82","4.86","-1.06"
"35.197998","7.22","6.86","-0.47"
"35.268982","8.32","10.08","-0.24"
"35.339996","13.02","6.35","4.20"
"35.41098","5.30","3.77","-0.04"
"35.481995","10.43","5.22","0.98"
"35.55298","3.84","4.24","1.53"
"35.623993","5.02","5.30","2.24"
"35.694977","3.49","5.73","1.69"
"35.76599","6.24","7.69","3.84"
"35.836975","6.12","9.53","2.82"
"35.90799","7.02","6.12","6.43"
"35.979004","12.12","4.75","3.10"
"36.049988","4.43","6.43","3.37"
"36.121002","5.49","3.84","0.55"
"36.191986","4.28","4.39","-0.55"
"36.263","4.90","7.18","-0.12"
"36.333984","8.51","7.61","0.94"
"36.405","7.92","7.92","4.16"
"36.475983","5.81","5.53","-3.22"
"36.546997","9.92","4.12","1.29"
"37.328003","4.35","5.88","-0.43"
"37.398987","8.08","9.45","1.06"
"38.32199","4.16","4.47","-1.14"
"38.392975","4.04","5.73","-0.20"
"39.244995","7.06","6.59","3.73"
"39.31598","5.10","4.94","0.59"
"39.386993","4.28","4.24","-0.12"
"39.81299","3.65","4.98","1.96"
"39.884003","5.69","3.80","2.59"
"39.954987","3.33","5.81","1.53"
"40.026","6.86","7.26","3.26"
"40.096985","6.28","9.49","3.49"
"40.168","8.36","7.57","7.49"
"40.238983","8.98","4.20","2.43"
"40.309998","6.59","5.92","3.53"
"40.38098","5.77","4.39","-0.04"
"40.451996","4.35","4.39","-0.59"
"40.52298","4.00","5.65","-0.86"
"40.593994","6.71","8.16","0.63"
"40.664978","3.96","11.89","-3.26"
"40.735992","8.71","-0.04","-2.16"
"40.806976","6.71","6.24","1.77"
"40.87799","4.43","5.18","1.37"
"40.948975","5.69","4.04","2.59"
