"NAME:","walk_2_1.csv"
"EXPERIMENT TIME:","08/06/2023 09:17"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","100"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"44.011","1.1","-9.57","-4.82"
"44.013","0.39","-11.89","-5.73"
"44.015","0.08","-11.85","-6.51"
"44.018","0.2","-7.41","-4.98"
"44.032","-0.51","-7.69","-3.65"
"44.036","-0.12","-8.12","-2.63"
"44.04","1.02","-9.22","-4.04"
"44.045","0.75","-11.41","-5.53"
"44.052","0.47","-11.49","-6.59"
"44.06","-0.47","-6.28","-4.0"
"44.069","-0.31","-7.69","-3.1"
"44.076","0.98","-8.9","-4.08"
"44.086","0.31","-11.1","-4.28"
"44.091","1.14","-11.81","-5.77"
"44.096","1.45","-9.96","-5.33"
"44.099","0.43","-7.45","-3.65"
"44.102","0.63","-7.3","-2.86"
"44.105","-0.16","-9.18","-2.86"
"44.107","1.1","-10.28","-4.71"
"44.111","1.33","-11.45","-6.55"
"44.113","0.16","-8.2","-6.32"
"44.117","0.39","-7.88","-2.71"
"44.135","-0.04","-8.43","-3.8"
"44.14","0.47","-8.32","-3.49"
"44.146","0.12","-11.81","-4.55"
"44.154","2.2","-11.3","-6.79"
"44.156","1.84","-8.04","-5.45"
"44.161","0.27","-7.41","-3.73"
"44.164","-0.24","-8.0","-3.18"
"44.168","-0.31","-10.08","-3.45"
"44.172","-0.43","-10.94","-4.35"
"44.175","2.0","-16.16","-7.73"
"44.178","1.29","-6.47","-6.04"
"44.191","1.1","-8.04","-4.2"
"44.195","0.35","-8.08","-4.43"
"44.201","0.59","-8.98","-3.84"
"44.205","0.24","-11.61","-4.75"
"44.208","0.98","-11.1","-6.12"
"44.212","1.53","-5.65","-3.69"
"44.224","0.63","-8.87","-4.04"
"44.233","0.98","-8.16","-3.41"
"44.237","0.9","-9.18","-3.96"
"44.242","0.39","-10.83","-5.18"
"44.247","0.31","-12.32","-7.14"
"44.251","1.57","-5.92","-4.79"
"44.255","-0.04","-6.86","-3.84"
"44.26","0.78","-8.47","-4.51"
"44.263","0.59","-9.61","-4.12"
"44.267","0.67","-11.57","-4.86"
"44.27","2.31","-11.57","-6.0"
"44.273","2.75","-8.0","-6.24"
"44.277","1.26","-7.18","-4.39"
"44.28","0.67","-8.32","-3.26"
"44.282","1.1","-8.9","-3.84"
"44.284","0.71","-9.81","-4.59"
"44.287","0.98","-12.55","-7.49"
"44.291","0.27","-6.86","-4.43"
"44.293","-0.55","-7.18","-2.79"
"44.296","0.9","-7.88","-4.39"
"44.303","0.47","-9.41","-4.08"
"44.306","0.63","-11.34","-5.26"
"44.31","1.92","-11.45","-6.59"
"44.312","2.51","-8.04","-6.39"
"44.315","1.22","-6.51","-4.51"
"44.319","0.78","-7.73","-3.84"
"44.323","0.75","-10.0","-4.04"
"44.327","0.63","-10.55","-5.22"
"44.33","0.67","-13.1","-8.39"
"44.333","1.02","-6.24","-5.61"
"44.336","0.08","-6.51","-3.22"
"44.339","0.55","-8.71","-4.28"
"44.341","-0.24","-10.32","-3.8"
"44.344","-0.08","-11.57","-4.94"
"44.347","3.18","-9.34","-8.36"
"44.35","2.31","-7.14","-5.33"
"44.352","0.59","-7.96","-4.24"
"44.355","0.27","-8.71","-3.61"
"44.358","0.75","-10.16","-4.04"
"44.36","1.22","-11.26","-4.67"
"44.362","1.69","-11.02","-6.83"
