NAME:,walk1_4.csv,,
EXPERIMENT TIME:,06/6/2023 13:21,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,181,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
40.076,-0.505,7.621,0.47
40.162,0.632,7.189,1.843
40.248,0.122,6.758,3.294
40.334,0.75,11.818,2.313
40.42,0.789,13.387,5.177
40.506,3.535,8.287,0.705
40.592,-1.643,10.876,-0.786
40.678,0.711,8.405,0.391
40.764,-0.898,9.464,0.117
40.85,-1.212,8.523,1.019
40.936,-1.015,10.484,1.019
41.022,-3.918,11.386,0.98
41.108,-1.643,14.603,-0.589
41.194,-1.682,8.797,-2.943
41.28,1.574,10.484,-1.021
41.366,-0.192,8.797,0.47
41.452,0.554,7.346,1.686
41.538,0.083,5.62,3.843
41.624,-0.309,16.133,5.491
41.71,2.044,12.995,-3.061
41.796,4.123,8.052,-0.825
41.882,-0.035,8.876,-0.472
41.968,1.103,9.072,0.548
42.054,-1.015,8.562,0.234
42.14,-1.055,8.64,1.49
42.226,-0.819,10.759,0.195
42.312,-2.035,13.269,0.156
42.398,-2.388,11.896,-4.63
42.484,1.927,11.229,0.156
42.57,-1.055,8.052,0.862
42.656,0.122,7.111,2.156
42.742,0.593,7.267,2.784
42.828,-0.113,10.013,2.431
42.914,-0.27,11.739,6.785
43.0,4.633,11.229,1.568
43.086,-2.624,10.955,-0.589
43.172,1.848,7.974,0.862
43.258,-1.094,8.64,0.352
43.344,-2.074,8.876,1.411
43.43,-0.898,8.993,0.784
43.516,-1.525,11.7,1.803
43.602,-0.623,15.387,-3.218
43.688,1.377,11.269,-2.002
43.774,-1.29,7.856,0.705
43.86,0.279,7.581,0.784
43.946,0.75,7.66,2.353
44.032,0.005,6.718,3.019
44.118,0.946,15.23,4.785
44.204,0.907,16.093,0.862
44.29,1.887,8.876,-0.629
44.376,0.044,8.523,0.195
44.462,0.475,8.523,0.666
44.548,-1.525,8.17,0.823
44.634,-1.172,9.229,1.254
44.72,-0.662,11.033,0.156
44.806,-0.349,15.74,-0.903
44.892,-1.251,10.092,-4.198
44.978,-0.388,11.386,-0.158
45.064,-0.309,8.248,0.195
45.15,0.985,7.464,1.372
45.236,0.279,7.032,2.941
45.322,-0.074,11.504,2.823
45.408,0.867,11.347,3.137
45.494,4.398,8.954,-0.236
45.58,-1.643,10.523,-0.432
45.666,0.828,8.444,0.705
45.752,-0.819,9.19,0.038
45.838,-1.682,9.307,1.294
45.924,-0.858,9.935,0.862
46.01,-1.996,10.484,1.803
46.096,-1.878,15.505,-3.414
46.182,0.985,11.112,-1.452
46.268,-0.623,8.484,-0.432
46.354,0.75,8.013,0.666
46.44,0.554,7.817,2.117
46.526,-0.231,6.326,3.922
46.612,0.044,15.74,4.0
46.698,0.122,17.074,-0.942
46.784,2.24,8.837,-1.06
46.87,0.475,9.346,-0.079
46.956,0.828,8.484,-0.04
47.042,-2.114,8.68,1.215
47.128,-1.172,8.68,1.882
47.214,-1.172,10.406,-0.001
47.3,-1.29,12.602,0.391
47.386,-2.271,10.641,-4.63
47.472,1.809,11.896,-0.04
47.558,-0.78,8.248,0.548
47.644,0.436,7.934,1.568
47.73,0.632,6.679,3.176
47.816,-0.819,11.308,3.137
47.902,-0.466,10.366,5.177
47.988,3.888,10.406,1.647
48.074,-2.741,9.817,-1.178
48.16,1.221,7.856,-0.04
48.246,-0.388,9.7,0.47
48.332,-2.663,9.268,1.019
48.418,-0.937,8.601,1.647
48.504,-0.937,10.837,0.47
48.59,-2.153,12.877,-0.119
48.676,-2.31,10.445,-4.512
48.762,1.495,11.779,-0.55
48.848,-1.055,8.64,0.98
48.934,-0.27,6.993,1.254
49.02,0.789,7.032,2.666
49.106,0.279,11.072,2.156
49.192,-1.721,7.071,6.393
49.278,1.77,14.564,0.391
49.364,-1.918,6.326,-1.413
49.45,1.024,11.347,-0.432
49.536,-1.643,7.974,-0.119
49.622,-1.8,9.543,0.117
49.708,-1.721,9.621,0.195
49.794,-1.996,10.68,0.038
49.88,-2.192,12.092,-0.079
49.966,-3.094,12.838,-3.021
50.052,2.633,10.759,-1.021
50.138,-0.545,8.091,0.431
50.224,-0.78,8.64,1.294
50.31,0.005,8.915,2.274
50.396,0.201,8.523,2.196
50.482,-0.074,9.778,1.725
50.568,-1.604,9.739,5.02
50.654,3.849,13.073,-0.903
50.74,-0.192,6.365,-2.08
50.826,1.73,10.837,-0.119
50.912,-0.192,9.974,0.627
50.998,-1.055,8.758,0.94
51.084,-1.251,8.993,1.294
51.17,-1.329,9.974,0.98
51.256,-2.192,10.013,0.744
51.342,-1.251,11.426,0.117
51.428,-3.604,13.308,-1.492
51.514,2.24,9.935,-2.158
51.6,-0.035,9.935,-0.511
51.686,-0.741,9.66,0.587
51.772,0.514,7.503,1.019
51.858,0.593,7.503,2.902
51.944,-0.192,11.072,1.843
52.03,0.083,12.955,6.981
52.116,0.201,13.348,0.431
52.202,1.809,6.679,-1.374
52.288,-1.172,11.19,-0.079
52.374,0.867,10.131,0.47
52.46,-1.682,8.484,1.254
52.546,-2.074,8.523,1.607
52.632,-0.741,10.327,0.627
52.718,-2.349,10.249,1.49
52.804,-1.368,13.465,0.077
52.89,-2.545,10.994,-3.688
52.976,1.26,11.504,0.077
53.062,0.122,8.915,0.038
53.148,-0.623,7.817,1.803
53.234,0.514,7.032,3.098
53.32,-0.349,9.817,2.863
53.406,1.181,12.092,6.981
53.492,2.358,10.759,1.96
53.578,-0.741,9.7,-0.825
53.664,1.064,8.954,0.156
53.75,-0.427,9.346,0.784
53.836,-1.996,9.268,1.176
53.922,-0.702,8.876,0.94
54.008,-1.525,10.209,0.352
54.094,-1.408,10.994,1.96
54.18,-1.761,13.818,-2.002
54.266,0.475,9.543,-1.923
54.352,-0.937,9.621,0.391
54.438,-0.505,8.68,0.823
54.524,0.632,7.111,1.215
54.61,0.279,7.032,3.333
54.696,-1.172,12.524,3.451
54.782,-0.741,12.485,4.039
54.868,5.065,12.053,-0.864
54.954,-3.134,7.777,-1.256
55.04,1.574,8.876,0.234
55.126,-0.388,10.053,-0.079
55.212,-2.388,8.876,0.627
55.298,-0.702,9.543,1.215
55.384,-2.035,9.817,0.274
55.47,0.318,14.681,-0.04
55.556,-2.231,10.994,-4.081
55.642,0.593,10.327,-0.315
55.728,-0.898,8.248,0.98
55.814,-0.074,7.974,2.235
55.9,0.279,7.895,3.255
55.986,-0.388,8.405,3.686
56.072,-0.113,11.7,7.766
56.158,2.947,15.23,-0.04
56.244,-1.8,5.502,-0.393
56.33,1.299,9.464,0.234
56.416,-0.152,10.327,0.509
56.502,-1.8,8.719,0.98
56.588,-1.447,9.15,1.254
56.674,-1.996,10.013,0.587
56.76,-1.055,15.074,-1.178
56.846,0.24,10.366,-1.884
56.932,-0.937,10.053,0.117
57.018,-0.466,8.13,0.823
57.104,0.397,7.542,2.0
57.19,-0.231,7.111,3.216
57.276,-1.133,15.191,2.313
57.362,-1.565,9.346,1.45
57.448,3.966,10.759,-1.492
57.534,-2.074,8.837,-0.825
57.62,1.103,9.856,0.47
57.706,-2.467,9.582,1.058
57.792,-1.447,8.837,1.764
57.878,-1.251,10.837,0.274
57.964,-0.505,12.21,-0.432
58.05,-3.997,12.877,-3.374
58.136,1.691,10.641,-0.197
58.222,-0.231,8.17,0.234
58.308,-0.035,7.777,1.764
58.394,0.083,7.542,3.098
58.48,0.083,8.209,2.784
58.566,-0.427,13.387,9.649
58.652,3.77,16.486,-1.413
58.738,-0.113,3.894,-1.335
58.824,1.142,9.15,-0.04
58.91,0.24,10.445,0.117
58.996,-2.388,8.523,1.215
59.082,0.201,9.464,1.764
59.168,-3.173,9.621,0.391
59.254,1.966,15.309,-2.629
